10,Sun,6.963e5
10,Sun,1.988544e30
10,Sun,2457387.500000000, A.D. 2015-Dec-31 00:00:00.0000,  5.590494055125477E+05,  2.087643560288118E+05, -2.412145212938617E+04,  1.510825186681890E-03,  1.193408737636181E-02, -4.886242563683935E-05,
199,Mercury,2440
199,Mercury,3.302e23
199,Mercury,2457387.500000000, A.D. 2015-Dec-31 00:00:00.0000,  4.527854311129748E+07,  2.089178983463553E+07, -2.436861470289893E+06, -2.993210477424411E+01,  4.638151668029497E+01,  6.535065774837726E+00,
299,Venus,6051.8
299,Venus,48.685e23
299,Venus,2457387.500000000, A.D. 2015-Dec-31 00:00:00.0000, -1.068625734229039E+08, -5.525449738496638E+06,  6.096161085304536E+06,  1.658564574833822E+00, -3.511418033492560E+01, -5.772701977170076E-01,
301,Moon,1737.53
301,Moon,734.9e20
301,Moon,2457387.500000000, A.D. 2015-Dec-31 00:00:00.0000, -2.219180514448998E+07,  1.457090587432225E+08, -3.543374834531546E+04, -3.021788495489723E+01, -5.546987836441216E+00,  8.359992922378079E-02,
399,Earth,6371.01
399,Earth,5.97219e24
399,Earth,2457387.500000000, A.D. 2015-Dec-31 00:00:00.0000, -2.180609859381733E+07,  1.456022036529616E+08, -2.918511448724568E+04, -2.992224973962879E+01, -4.618376221270331E+00, -7.696454354169102E-04,
401,Phobos,13.1
401,Phobos,1.08e20
401,Phobos,2457387.500000000, A.D. 2015-Dec-31 00:00:00.0000, -2.458862689031831E+08,  2.754155890468528E+07,  6.593449407131417E+06, -8.723869739923642E-01, -2.011001448092365E+01, -7.833379875992437E-01,
402,Deimos,7.8
402,Deimos,1.80e20
402,Deimos,2457387.500000000, A.D. 2015-Dec-31 00:00:00.0000, -2.458908847694412E+08,  2.752292127803095E+07,  6.593803282035034E+06, -5.543980944948195E-01, -2.176908459790456E+01, -9.697547861924498E-01,
499,Mars,3389.9
499,Mars,6.4185e23
499,Mars,2457387.500000000, A.D. 2015-Dec-31 00:00:00.0000, -2.458936813150658E+08,  2.754594922102810E+07,  6.597312953894267E+06, -1.765728286488730E+00, -2.200055984353320E+01, -4.179493053201186E-01,
501,Io,1821.3
501,Io,893.3e20
501,Io,2457387.500000000, A.D. 2015-Dec-31 00:00:00.0000, -7.738387197166172E+08,  2.390999884855132E+08,  1.629544118573987E+07, -3.224313937950782E+00, -2.912329824594885E+01, -4.605336096010308E-01,
502,Europa,1565
502,Europa,479.7e20
502,Europa,2457387.500000000, A.D. 2015-Dec-31 00:00:00.0000, -7.731286591684456E+08,  2.385171361247092E+08,  1.628028389665341E+07,  8.489710823907362E+00, -6.050701157012464E+00,  5.903117730456289E-01,
503,Ganymede,2634
503,Ganymede,1482e20
503,Ganymede,2457387.500000000, A.D. 2015-Dec-31 00:00:00.0000, -7.732460899950325E+08,  2.401766440480000E+08,  1.634456351452914E+07, -1.474403656566583E+01, -1.011662662167719E+01,  6.441053407674202E-02,
504,Callisto,2403
504,Callisto,1076e20
504,Callisto,2457387.500000000, A.D. 2015-Dec-31 00:00:00.0000, -7.740303250964479E+08,  2.409033351591260E+08,  1.635094266047218E+07, -1.177107584448004E+01, -1.447249669377961E+01, -4.800548587265219E-02,
505,Amalthea,131
505,Amalthea,3.5e18
505,Amalthea,2457387.500000000, A.D. 2015-Dec-31 00:00:00.0000, -7.733064418295430E+08,  2.389760778775926E+08,  1.629770537473746E+07,  1.701189043637842E+01,  4.232295643186875E+00,  9.889988325457724E-01,
506,Himalia,85
506,Himalia,9.56e18
506,Himalia,2457387.500000000, A.D. 2015-Dec-31 00:00:00.0000, -7.827637769442286E+08,  2.304062331496918E+08,  1.673768437871562E+07, -2.396465015387757E+00, -1.387742867570923E+01, -1.300590229021588E+00,
507,Elara,40
507,Elara,7.77e17
507,Elara,2457387.500000000, A.D. 2015-Dec-31 00:00:00.0000, -7.687444327385454E+08,  2.508109709824334E+08,  1.305072235642175E+07, -6.167524235974392E+00, -1.023183155747323E+01,  1.276886419009421E+00,
508,Pasiphae,18
508,Pasiphae,1.91e17
508,Pasiphae,2457387.500000000, A.D. 2015-Dec-31 00:00:00.0000, -7.600085215394677E+08,  2.128027497363466E+08,  3.113627741935605E+07, -5.405377340188267E+00, -1.238804017222572E+01,  1.762962874263323E-01,
509,Sinope,14
509,Sinope,7.77e17
509,Sinope,2457387.500000000, A.D. 2015-Dec-31 00:00:00.0000, -7.851630575291481E+08,  2.228401870535246E+08,  2.213168418233548E+07, -6.366656582965434E+00, -1.093836624078957E+01, -3.332829753680904E-01,
510,Lysithea,12
510,Lysithea,7.77e16
510,Lysithea,2457387.500000000, A.D. 2015-Dec-31 00:00:00.0000, -7.817105486003917E+08,  2.307707970773697E+08,  1.113132750850832E+07, -1.911356562090710E+00, -1.383302879066278E+01, -6.150116450357670E-01,
511,Carme,15
511,Carme,1.3e17
511,Carme,2457387.500000000, A.D. 2015-Dec-31 00:00:00.0000, -7.871807018641057E+08,  2.127701583133373E+08,  1.067165030802083E+07, -5.341443726492680E+00, -1.093944085552840E+01,  4.431686438604991E-01,
512,Ananke,10
512,Ananke,3.0e16
512,Ananke,2457387.500000000, A.D. 2015-Dec-31 00:00:00.0000, -7.719797237810762E+08,  2.228871565967190E+08,  1.992948785340671E+07, -6.530415004946870E+00, -1.268029391906616E+01, -1.310993977420726E+00,
513,Leda,5
513,Leda,1.1e16
