M,801,Triton,2.147e22
M,899,Neptune,1.0241e26
M,901,Charon,1.53e21
M,999,Pluto,1.307e22
M,517,Callirrhoe,8.699999999999999e14
M,519,Megaclite,2.1e14
M,520,Taygete,1.6e14
M,521,Chaldene,70000000000000
M,522,Harpalyke,100000000000000
M,523,Kalyke,1.9e14
M,525,Erinome,40000000000000
M,526,Isonoe,70000000000000
M,527,Praxidike,4.3e14
M,528,Autonoe,90000000000000
M,529,Thyone,90000000000000
M,530,Hermippe,90000000000000
M,531,Aitne,40000000000000
M,532,Eurydome,40000000000000
M,533,Euanthe,40000000000000
M,534,Euporie,10000000000000
M,535,Orthosie,10000000000000
M,536,Sponde,10000000000000
M,537,Kale,85
M,538,Pasithee,10000000000000
M,553,Dia,494
M,618,Pan,4.9e15
M,619,Ymir,4.9e15
M,620,Paaliaq,8.199999999999999e15
M,621,Tarvos,2.7e15
M,622,Ijiraq,1.2e15
M,623,Suttungr,2.1e14
M,624,Kiviuq,3.3e15
M,625,Mundilfari,2.1e14
M,626,Albiorix,2.1e16
M,627,Skathi,3.1e14
M,628,Erriapus,7.6e14
M,629,Siarnaq,3.9e16
M,630,Thrymr,2.1e14
M,631,Narvi,3.4e14
M,632,Methone,140.18
M,649,Anthe,5000000000000
M,706,Cordelia,4.5e16
M,708,Bianca,9.3e16
M,710,Desdemona,1.78e17
M,711,Juliet,5.57e17
M,712,Portia,1.681e18
M,713,Rosalind,2.5499999999999997e17
M,714,Belinda,3.57e17
M,715,Puck,2.893e18
M,716,Caliban,7.3e17
M,717,Sycorax,5.38e18
M,718,Prospero,2.1e16
M,719,Setebos,2.1e16
M,720,Stephano,6000000000000000
M,721,Trinculo,700000000000000
M,802,Nereid,3.09e19
M,803,Naiad,1.9e17
M,804,Thalassa,3.7e17
M,805,Despina,2.1e18
M,806,Galatea,3.7e18
M,807,Larissa,4.9e18
M,808,Proteus,5.03e19
M,814,2004N1,5.481e6
M,902,Nix,4.7e16
M,903,Hydra,80000000000000000
M,539,Hegemone,1.809557368467721e14
M,540,Mneme,5.3616514621265805e13
M,541,Aoede,4.2893211697012644e14
M,542,Thelxinoe,5.3616514621265805e13
M,543,Arche,2.261946710584651e13
M,544,Kallichore,5.3616514621265805e13
M,545,Helike,4.2893211697012644e14
M,546,Carpo,1.809557368467721e14
M,547,Eukelade,4.2893211697012644e14
M,548,Cyllene,5.3616514621265805e13
M,549,Kore,5.3616514621265805e13
M,550,Herse,5.3616514621265805e13
M,551,2010J1,1.924206913626228e22
M,552,2010J2,4.681831085533865e22
M,633,Pallene,1.1779548262292098e14
M,634,Polydeuces,1.1581167158193414e13
M,635,Daphnis,3.9755975385235825e14
M,636,Aegir,1.809557368467721e14
M,637,Bebhionn,1.809557368467721e14
M,638,Bergelmir,1.809557368467721e14
M,639,Bestla,1.809557368467721e14
M,640,Farbauti,1.809557368467721e14
M,641,Fenrir,5.3616514621265805e13
M,642,Fornjot,1.809557368467721e14
M,643,Hati,1.809557368467721e14
M,644,Hyrrokkin,4.2893211697012644e14
M,645,Kari,1.809557368467721e14
M,646,Loge,1.809557368467721e14
M,647,Skoll,1.809557368467721e14
M,648,Surtur,1.809557368467721e14
M,650,Jarnsaxa,1.809557368467721e14
M,651,Greip,1.809557368467721e14
M,652,Tarqeq,2.8735100804834644e14
M,653,Aegaeon,3.4314569357610117e12
